work#,volumes,pages,filetypes,size
W00KG01591,1,50,2148
W00KG01592,1,30,1396
W00KG01593,1,68,2588
W00KG01594,1,76,4712
W00KG01595,1,122,5336
W00KG01596,1,14,624
W00KG01597,1,20,1148
W00KG01598,1,14,556
W00KG01599,1,12,444
W00KG016,1,172,14100
W00KG01600,1,54,2332
W00KG01601,1,54,3444
W00KG01602,1,194,9444
W00KG01603,1,32,1516
W00KG01604,1,12,372
W00KG01605,1,102,2480
W00KG01606,1,14,532
W00KG01607,1,8,576
W00KG01608,1,4,292
W00KG01609,1,8,212
W00KG01610,1,164,11996
W00KG01613,1,20,1636
W00KG01614,1,12,712
W00KG01615,1,6,220
W00KG01616,1,22,1516
W00KG01617,1,10,832
W00KG01618,1,26,1916
W00KG01619,1,10,656
W00KG01620,1,8,456
W00KG01621,1,18,1484
W00KG01622,1,6,324
W00KG01623,1,10,512
W00KG01624,1,56,4180
W00KG01625,1,34,2484
W00KG01626,1,4,204
W00KG01627,1,48,3768
W00KG01628,1,8,396
W00KG01629,1,50,3120
W00KG01630,1,54,3372
W00KG01631,1,20,1836
W00KG01632,1,28,2672
W00KG01633,1,10,496
W00KG01634,1,42,2924
W00KG01635,1,34,2248
W00KG01636,1,16,876
W00KG01637,1,8,316
W00KG01638,1,60,4724
W00KG01639,1,20,1152
W00KG01640,1,16,980
W00KG01641,1,10,736
W00KG01642,1,54,5664
W00KG01643,1,30,2768
W00KG01644,1,14,1048
W00KG01645,1,10,616
W00KG01646,1,12,800
W00KG01647,1,8,632
W00KG01648,1,12,944
W00KG01649,1,54,5448
W00KG01650,1,226,18088
W00KG01651,1,34,2376
W00KG01652,1,110,8280
W00KG01653,1,12,768
W00KG01654,1,83,6160
W00KG01656,1,44,3192
W00KG01657,1,28,2092
W00KG01658,1,50,3568
W00KG01659,1,280,20580
W00KG01660,7,6018,781468
W00KG01661,1,203,5448
W00KG01662,1,149,4040
W00KG01663,1,212,5636
W00KG01664,1,137,3628
W00KG01665,1,153,4108
